instant_day,dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,instant_hour,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,season_desc_hour
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Spring
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Spring
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Spring
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Spring
